LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
454;253230160;SUPRAåL;Supraúl;53 12 39;23 19 57;137
455;249190780;GUBA£”WKA;Wielki Rogoünik;49 18 20;19 55 47;1 123
456;249190790;RATU£”W;Wielki Rogoünik;49 23 30;19 53 03;679
457;249190880;WADOWICE;Skawa;49 52 38;19 30 40;265
458;249200950;SZAFLARY;Bia≥y Dunajec;49 26 02;20 01 32;636
459;249210340;KREMPNA;Wis≥oka;49 30 59;21 29 03;380
460;250190510;PIWO—;Przemsza;50 29 04;19 14 42;300
461;250220220;JAROS£AW;San;50 01 16;22 42 09;180
462;250160590;D£UGOPOLE-ZDR”J;Nysa K≥odzka;50 14 59;16 38 00;364
463;354180155;GDA—SK-åWIBNO;Wis≥a;54 20 01;18 56 04;7
464;253230170;NOWOSI”£KI;Supraúl;53 10 30;23 31 35;132
465;249190770;STRACONKA;Bia≥a;49 47 38;19 06 26;450
466;252160110;SZAMOTU£Y-BABOR”WKO;Sama;52 35 04;16 38 17;75
467;249180150;WAPIENICA;Wapienica;49 46 25;18 58 24;456
468;250180380;SUKOWICE;Cisek;50 15 46;18 10 11;180
469;250200370;KONIECZNO;Nida;50 47 37;20 02 01;268
470;253170210;CHRZ•STOWO;NoteÊ;53 09 40;17 35 01;105
471;251190220;DOBRYSZYCE;Widawka;51 08 51;19 24 30;216
472;252140160;TRZCI—SKO-ZDR”J;Rurzyca;52 57 52;14 35 17;55
473;251160360;G£OG”W;Odra;51 40 21;16 03 36;75
474;251150410;åWIERZAWA;Kaczawa;51 01 01;15 53 20;260
475;251200270;D•BR”WKA STARA;Pilica;51 46 49;20 44 13;174
476;251150390;Z£OTNIKI LUBA—SKIE;Zb. Z≥otniki;51 00 50;15 20 26;360
477;250160320;OSTROSZOWICE;Jadkowa;50 38 39;16 38 09;373
478;253220310;MO—KI;Nereúl;53 24 01;22 47 47;175
479;250160840;SZALEJ”W G”RNY;Bystrzyca Dusznicka;50 25 50;16 33 09;335
480;254220090;OLECKO;Jez. Olecko Wielkie;54 02 51;22 29 13;182
481;250200380;BIELINY PODUCHOWNE;Czarna Nida;50 50 58;20 57 32;321
482;249200910;MORSKIE OKO;Rybi Potok;49 12 04;20 04 17;1 400
483;249190850;RYCERKA G”RNA;So≥a;49 25 33;19 00 29;720
484;249190860;SOBL”WKA;So≥a;49 27 24;19 08 43;620
485;249190870;åLEMIE—;So≥a;49 42 57;19 22 28;480
486;254160020;DAR£OWO;Wieprza;54 25 60;16 22 06;12
487;250190380;BIERU— STARY;Mleczna;50 05 03;19 05 41;255
488;251210040;JARCZEW;Wilga;51 48 53;21 58 24;180
489;254180260;GDA—SK-PORT P”£NOCNY;Ba≥tyk;54 23 59;18 41 52;2
490;249201010;SIERCZA;Wis≥a;49 58 21;20 02 02;336
