year,month,voivodeship,temperature,humidity
2022,03,świętokrzyskie,-0.9806451612903226,76.03225806451613
2022,04,świętokrzyskie,5.38,83.93333333333334
2022,05,świętokrzyskie,15.364516129032259,67.35483870967742
2022,06,świętokrzyskie,20.696666666666665,71.03333333333333
2022,07,świętokrzyskie,19.616129032258065,75.45161290322581
2022,08,świętokrzyskie,20.729032258064517,79.29032258064517
2022,09,świętokrzyskie,10.803333333333335,88.26666666666667
2022,10,świętokrzyskie,6.741935483870968,96.93548387096774
2022,11,świętokrzyskie,1.6333333333333333,94.9
2022,12,świętokrzyskie,-1.5774193548387097,92.7741935483871
2018,01,lubuskie,1.132258064516129,88.80645161290323
2018,02,lubuskie,-4.877777777777777,87.62962962962963
2018,03,lubuskie,-1.8966666666666667,80.1
2018,04,lubuskie,11.229999999999999,76.43333333333334
2018,05,lubuskie,17.177419354838708,67.06451612903226
2018,06,lubuskie,18.953333333333333,70.8
2018,07,lubuskie,20.206451612903226,72.29032258064517
2018,08,lubuskie,20.461290322580645,66.19354838709677
2018,09,lubuskie,13.81,76.7
2018,10,lubuskie,8.109677419354838,79.61290322580645
2018,11,lubuskie,2.5866666666666664,92.26666666666667
2018,12,lubuskie,2.074193548387097,95.09677419354838
2019,01,lubuskie,-1.2433333333333332,92.66666666666667
2019,02,lubuskie,0.7321428571428571,80.28571428571429
2019,03,lubuskie,3.664516129032258,87.03225806451613
2019,04,lubuskie,8.176666666666668,66.46666666666667
2019,07,lubuskie,18.80322580645161,75.19354838709677
2019,08,lubuskie,19.403333333333332,78.26666666666667
2019,09,lubuskie,12.496666666666666,82.7
2019,10,lubuskie,8.248387096774193,89.70967741935483
2019,11,lubuskie,4.196296296296296,93.37037037037037
2019,12,lubuskie,1.935483870967742,88.09677419354838
2020,01,lubuskie,1.3096774193548388,89.2258064516129
2020,02,lubuskie,3.027586206896552,85.55172413793103
2020,03,lubuskie,1.7161290322580647,77.83870967741936
2020,04,lubuskie,8.49,60.43333333333333
2020,05,lubuskie,11.780645161290321,74.38709677419355
2020,06,lubuskie,18.456666666666667,77.26666666666667
2020,07,lubuskie,18.703225806451613,73.80645161290323
2020,08,lubuskie,19.62258064516129,75.12903225806451
2020,09,lubuskie,13.356666666666666,83.5
2020,10,lubuskie,8.429032258064517,93.35483870967742
2020,11,lubuskie,4.526666666666667,92.4
2020,12,lubuskie,0.8193548387096774,91.87096774193549
2021,01,lubuskie,-1.7774193548387098,93.2258064516129
2021,02,lubuskie,-2.889285714285714,89.17857142857143
2021,03,lubuskie,1.7774193548387098,81.41935483870968
2021,04,lubuskie,4.59,76.46666666666667
2021,05,lubuskie,11.651612903225805,78.6774193548387
2021,06,lubuskie,21.08,66.86666666666666
2021,07,lubuskie,19.77741935483871,80.58064516129032
2021,08,lubuskie,16.393548387096775,84.0
2021,09,lubuskie,13.616666666666667,85.66666666666667
2021,10,lubuskie,6.712903225806452,85.45161290322581
2021,11,lubuskie,3.6933333333333334,94.26666666666667
2021,12,lubuskie,-0.8,93.54838709677419
2022,01,lubuskie,0.8387096774193548,92.2258064516129
2022,02,lubuskie,1.917857142857143,86.35714285714286
2022,03,lubuskie,0.7612903225806452,68.25806451612904
2022,04,lubuskie,6.433333333333334,72.26666666666667
2022,05,lubuskie,15.59032258064516,65.16129032258064
2022,06,lubuskie,19.823333333333334,72.26666666666667
2022,07,lubuskie,20.31935483870968,66.74193548387096
2022,08,lubuskie,20.154838709677417,77.2258064516129
2022,09,lubuskie,11.203333333333335,87.2
2022,10,lubuskie,9.37741935483871,92.38709677419355
2022,11,lubuskie,2.99,94.96666666666667
2022,12,lubuskie,-0.2,93.6774193548387
2018,01,mazowieckie,0.7548387096774193,82.25806451612904
2018,02,mazowieckie,-5.575,86.14285714285714
2018,03,mazowieckie,-2.3133333333333335,81.83333333333333
2018,04,mazowieckie,12.26,80.0
2018,05,mazowieckie,18.80322580645161,71.2258064516129
2018,06,mazowieckie,20.376666666666665,70.4
