year,month,voivodeship,incidents
2020,04,warmińsko-mazurskie,770
2020,05,warmińsko-mazurskie,1185
2020,06,warmińsko-mazurskie,1292
2020,07,warmińsko-mazurskie,1486
2020,08,warmińsko-mazurskie,1520
2020,09,warmińsko-mazurskie,1341
2020,10,warmińsko-mazurskie,1306
2020,11,warmińsko-mazurskie,1032
2020,12,warmińsko-mazurskie,1286
2020,01,wielkopolskie,3116
2020,02,wielkopolskie,3003
2020,03,wielkopolskie,2320
2020,04,wielkopolskie,1781
2020,05,wielkopolskie,2431
2020,06,wielkopolskie,2812
2020,07,wielkopolskie,3044
2020,08,wielkopolskie,3161
2020,09,wielkopolskie,3199
2020,10,wielkopolskie,3081
2020,11,wielkopolskie,2461
2020,12,wielkopolskie,3241
2020,01,zachodniopomorskie,1667
2020,02,zachodniopomorskie,1602
2020,03,zachodniopomorskie,1300
2020,04,zachodniopomorskie,897
2020,05,zachodniopomorskie,1329
2020,06,zachodniopomorskie,1645
2020,07,zachodniopomorskie,1870
2020,08,zachodniopomorskie,2048
2020,09,zachodniopomorskie,2017
2020,10,zachodniopomorskie,1751
2020,11,zachodniopomorskie,1343
2020,12,zachodniopomorskie,1687
2020,01,łódzkie,2552
2020,02,łódzkie,2611
2020,03,łódzkie,2044
2020,04,łódzkie,1563
2020,05,łódzkie,2105
2020,06,łódzkie,2414
2020,07,łódzkie,2538
2020,08,łódzkie,2680
2020,09,łódzkie,2777
2020,10,łódzkie,2724
2020,11,łódzkie,2110
2020,12,łódzkie,2617
2020,01,śląskie,4696
2020,02,śląskie,4492
2020,03,śląskie,3354
2020,04,śląskie,2696
2020,05,śląskie,3486
2020,06,śląskie,4156
2020,07,śląskie,4351
2020,08,śląskie,4223
2020,09,śląskie,4921
2020,10,śląskie,4876
2020,11,śląskie,3677
2020,12,śląskie,4905
2020,01,świętokrzyskie,1070
2020,02,świętokrzyskie,1035
2020,03,świętokrzyskie,847
2020,04,świętokrzyskie,700
2020,05,świętokrzyskie,989
2020,06,świętokrzyskie,987
2020,07,świętokrzyskie,1157
2020,08,świętokrzyskie,1177
2020,09,świętokrzyskie,1260
2020,10,świętokrzyskie,1207
2020,11,świętokrzyskie,932
2020,12,świętokrzyskie,1103
2021,01,dolnośląskie,2987
2021,02,dolnośląskie,3317
2021,03,dolnośląskie,3202
2021,04,dolnośląskie,2848
2021,05,dolnośląskie,3606
2021,06,dolnośląskie,3678
2021,07,dolnośląskie,3434
2021,08,dolnośląskie,3594
2021,09,dolnośląskie,3529
2021,10,dolnośląskie,3975
2021,11,dolnośląskie,3368
2021,12,dolnośląskie,3767
2021,01,kujawsko-pomorskie,1998
2021,02,kujawsko-pomorskie,2346
2021,03,kujawsko-pomorskie,2014
2021,04,kujawsko-pomorskie,1874
2021,05,kujawsko-pomorskie,2337
2021,06,kujawsko-pomorskie,2396
2021,07,kujawsko-pomorskie,2235
2021,08,kujawsko-pomorskie,2239
2021,09,kujawsko-pomorskie,2310
2021,10,kujawsko-pomorskie,2494
2021,11,kujawsko-pomorskie,2197
2021,12,kujawsko-pomorskie,2542
2021,01,lubelskie,1646
2021,02,lubelskie,1739
2021,03,lubelskie,1406
2021,04,lubelskie,1411
2021,05,lubelskie,1788
2021,06,lubelskie,1899
2021,07,lubelskie,1719
2021,08,lubelskie,1799
2021,09,lubelskie,1844
2021,10,lubelskie,1858
2021,11,lubelskie,1670
2021,12,lubelskie,1971
2021,01,lubuskie,786
2021,02,lubuskie,840
2021,03,lubuskie,830
2021,04,lubuskie,829
2021,05,lubuskie,1031
2021,06,lubuskie,1000
2021,07,lubuskie,938
2021,08,lubuskie,968
2021,09,lubuskie,895
2021,10,lubuskie,1055
2021,11,lubuskie,987
2021,12,lubuskie,1081
2021,01,mazowieckie,4830
2021,02,mazowieckie,4922
2021,03,mazowieckie,4717
2021,04,mazowieckie,4896
2021,05,mazowieckie,5902
2021,06,mazowieckie,6011
2021,07,mazowieckie,5699
2021,08,mazowieckie,5621
2021,09,mazowieckie,6247
2021,10,mazowieckie,6359
2021,11,mazowieckie,5844
2021,12,mazowieckie,6256
2021,01,małopolskie,2357
2021,02,małopolskie,2560
2021,03,małopolskie,2321
2021,04,małopolskie,2335
2021,05,małopolskie,2894
2021,06,małopolskie,3100
2021,07,małopolskie,3039
2021,08,małopolskie,3134
2021,09,małopolskie,2851
2021,10,małopolskie,3165
2021,11,małopolskie,2865
2021,12,małopolskie,3177
2021,01,opolskie,709
2021,02,opolskie,834
2021,03,opolskie,730
2021,04,opolskie,714
2021,05,opolskie,946
2021,06,opolskie,929
2021,07,opolskie,917
2021,08,opolskie,886
2021,09,opolskie,984
2021,10,opolskie,1083
2021,11,opolskie,1001
2021,12,opolskie,995
2021,01,podkarpackie,1429
2021,02,podkarpackie,1602
2021,03,podkarpackie,1264
2021,04,podkarpackie,1239
2021,05,podkarpackie,1666
2021,06,podkarpackie,1675
2021,07,podkarpackie,1570
2021,08,podkarpackie,1813
2021,09,podkarpackie,1703
2021,10,podkarpackie,1752
2021,11,podkarpackie,1568
2021,12,podkarpackie,1889
2021,01,podlaskie,1015
2021,02,podlaskie,1273
2021,03,podlaskie,823
2021,04,podlaskie,882
2021,05,podlaskie,1033
2021,06,podlaskie,1247
2021,07,podlaskie,1155
2021,08,podlaskie,1067
2021,09,podlaskie,1137
2021,10,podlaskie,1199
2021,11,podlaskie,1090
2021,12,podlaskie,1305
2021,01,pomorskie,2228
2021,02,pomorskie,2250
2021,03,pomorskie,1990
2021,04,pomorskie,1755
2021,05,pomorskie,2358
2021,06,pomorskie,2552
2021,07,pomorskie,2702
2021,08,pomorskie,2740
2021,09,pomorskie,2398
2021,10,pomorskie,2468
2021,11,pomorskie,2311
2021,12,pomorskie,2608
2021,01,warmińsko-mazurskie,1198
2021,02,warmińsko-mazurskie,1301
2021,03,warmińsko-mazurskie,1187
2021,04,warmińsko-mazurskie,1067
2021,05,warmińsko-mazurskie,1343
2021,06,warmińsko-mazurskie,1525
2021,07,warmińsko-mazurskie,1600
2021,08,warmińsko-mazurskie,1562
2021,09,warmińsko-mazurskie,1366
2021,10,warmińsko-mazurskie,1420
2021,11,warmińsko-mazurskie,1374
2021,12,warmińsko-mazurskie,1484
2021,01,wielkopolskie,2581
2021,02,wielkopolskie,2717
2021,03,wielkopolskie,2759
2021,04,wielkopolskie,2638
2021,05,wielkopolskie,3312
2021,06,wielkopolskie,3252
2021,07,wielkopolskie,2862
2021,08,wielkopolskie,3107
2021,09,wielkopolskie,3072
2021,10,wielkopolskie,3449
2021,11,wielkopolskie,2956
2021,12,wielkopolskie,3377
2021,01,zachodniopomorskie,1389
2021,02,zachodniopomorskie,1498
2021,03,zachodniopomorskie,1570
2021,04,zachodniopomorskie,1348
2021,05,zachodniopomorskie,1833
2021,06,zachodniopomorskie,1843
2021,07,zachodniopomorskie,1952
2021,08,zachodniopomorskie,1922
2021,09,zachodniopomorskie,1735
2021,10,zachodniopomorskie,1833
2021,11,zachodniopomorskie,1612
2021,12,zachodniopomorskie,1866
2021,01,łódzkie,2413
2021,02,łódzkie,2556
2021,03,łódzkie,2163
2021,04,łódzkie,2304
2021,05,łódzkie,2693
2021,06,łódzkie,2647
2021,07,łódzkie,2470
2021,08,łódzkie,2621
2021,09,łódzkie,2532
2021,10,łódzkie,2836
2021,11,łódzkie,2561
2021,12,łódzkie,2704
2021,01,śląskie,4122
2021,02,śląskie,4567
2021,03,śląskie,3996
2021,04,śląskie,4000
2021,05,śląskie,4916
2021,06,śląskie,4823
2021,07,śląskie,4362
2021,08,śląskie,4777
2021,09,śląskie,4580
2021,10,śląskie,5359
2021,11,śląskie,4930
2021,12,śląskie,5510
2021,01,świętokrzyskie,995
2021,02,świętokrzyskie,1056
2021,03,świętokrzyskie,914
2021,04,świętokrzyskie,938
2021,05,świętokrzyskie,1203
2021,06,świętokrzyskie,1167
2021,07,świętokrzyskie,1109
2021,08,świętokrzyskie,1150
2021,09,świętokrzyskie,1152
2021,10,świętokrzyskie,1239
2021,11,świętokrzyskie,1063
2021,12,świętokrzyskie,1234
2022,01,dolnośląskie,2830
2022,02,dolnośląskie,2745
2022,03,dolnośląskie,3105
2022,04,dolnośląskie,3162
2022,05,dolnośląskie,3246
2022,06,dolnośląskie,3061
2022,07,dolnośląskie,2851
2022,08,dolnośląskie,2957
2022,09,dolnośląskie,2884
2022,10,dolnośląskie,3091
2022,11,dolnośląskie,2719
2022,12,dolnośląskie,2920
2022,01,kujawsko-pomorskie,1875
2022,02,kujawsko-pomorskie,1808
2022,03,kujawsko-pomorskie,1834
2022,04,kujawsko-pomorskie,1849
2022,05,kujawsko-pomorskie,1959
2022,06,kujawsko-pomorskie,1983
2022,07,kujawsko-pomorskie,1889
2022,08,kujawsko-pomorskie,1858
2022,09,kujawsko-pomorskie,1881
2022,10,kujawsko-pomorskie,1884
2022,11,kujawsko-pomorskie,1823
2022,12,kujawsko-pomorskie,1809
2022,01,lubelskie,1538
2022,02,lubelskie,1255
2022,03,lubelskie,1528
2022,04,lubelskie,1550
2022,05,lubelskie,1610
2022,06,lubelskie,1534
2022,07,lubelskie,1401
2022,08,lubelskie,1489
2022,09,lubelskie,1437
2022,10,lubelskie,1500
2022,11,lubelskie,1356
2022,12,lubelskie,1729
2022,01,lubuskie,793
2022,02,lubuskie,878
2022,03,lubuskie,907
2022,04,lubuskie,890
2022,05,lubuskie,886
2022,06,lubuskie,874
2022,07,lubuskie,875
2022,08,lubuskie,850
2022,09,lubuskie,876
2022,10,lubuskie,872
2022,11,lubuskie,801
2022,12,lubuskie,896
2022,01,mazowieckie,4493
2022,02,mazowieckie,4356
2022,03,mazowieckie,4861
2022,04,mazowieckie,4971
2022,05,mazowieckie,5309
2022,06,mazowieckie,4946
2022,07,mazowieckie,4544
2022,08,mazowieckie,4776
2022,09,mazowieckie,4966
2022,10,mazowieckie,5257
2022,11,mazowieckie,4621
2022,12,mazowieckie,5288
2022,01,małopolskie,2180
2022,02,małopolskie,2139
2022,03,małopolskie,2393
2022,04,małopolskie,2369
2022,05,małopolskie,2594
2022,06,małopolskie,2574
2022,07,małopolskie,2588
2022,08,małopolskie,2610
2022,09,małopolskie,2415
2022,10,małopolskie,2485
2022,11,małopolskie,2247
2022,12,małopolskie,2398
2022,01,opolskie,685
2022,02,opolskie,711
2022,03,opolskie,773
2022,04,opolskie,872
2022,05,opolskie,882
2022,06,opolskie,765
